Station,State,ID,Lat,Long,Elev,WMO
New Richmond             , WI   ,KRNH,45.15,-92.53,304,99999
Merrill,WI,KRRL,45.2,-89.71,401,99999
Prarie Du Chien,WI,KPDC,43.02,-91.12,201,99999
Clintonville,WI,KCLI,44.61,-88.73,250,99999
Boscobel,WI,KOVS,43.16,-90.68,202,99999
Superior,WI,KDYT,46.72,-92.04,186,99999
Juneau,WI,KUNU,43.43,-88.7,285,99999
Mineral Point,WI,KMRJ,42.89,-90.23,359,99999
Eagle River,WI,KEGV,45.93,-89.27,500,99999
Antigo,WI,KAIG,45.15,-89.12,456,99999
Minocqua,WI,KARV,45.93,-89.73,496,99999
Appleton,WI,KATW,44.25,-88.52,280,99999
West Bend,WI,KETB,43.42,-88.13,270,99999
Wausau,WI,KAUW,44.93,-89.63,366,99999
Mosinee,WI,KCWA,44.78,-89.67,389,99999
Baraboo,WI,KDLL,43.7,-89.8,298,99999
Eau Claire,WI,KEAU,44.87,-91.48,276,99999
Fond du Lac,WI,KFLD,43.77,-88.49,318,99999
Green Bay,WI,KGRB,44.48,-88.13,214,72645
Hayward,WI,KHYR,46.02,-91.45,370,99999
Wisconsin Rapids,WI,KISW,44.44,-89.83,308,99999
Janesville,WI,KJVL,42.62,-89.03,246,99999
Kenosha,WI,KENW,42.6,-87.93,227,99999
Lone Rock,WI,KLNR,43.22,-90.18,219,99999
La Crosse,WI,KLSE,43.87,-91.25,202,72643
Marshfield,WI,KMFI,44.63,-90.18,380,99999
Milwaukee,WI,KMKE,42.95,-87.9,211,72640
Madison,WI,KMSN,43.13,-89.33,264,72641
Manitowoc,WI,KMTW,44.13,-87.68,198,99999
Medford,WI,KMDZ,45.1,-90.3,448,99999
Milwaukee Timmerman,WI,KMWC,43.12,-88.03,227,99999
Monroe,WI,KEFT,42.61,-89.59,331,99999
Osceola,WI,KOEO,45.31,-92.69,903,99999
Oshkosh,WI,KOSH,43.98,-88.55,246,99999
Phillips,WI,KPBH,45.7,-90.4,449,99999
Racine,WI,KRAC,42.76,-87.81,205,99999
Rhinelander,WI,KRHI,45.63,-89.47,495,99999
Rice Lake,WI,KRPD,45.48,-91.72,347,99999
Sheboygan,WI,KSBM,43.77,-87.85,295,99999
Stevens Point,WI,KSTE,44.55,-89.53,338,99999
Sturgeon Bay,WI,KSUE,44.85,-87.42,221,99999
Superior,WI,KSUW,46.68,-92.1,202,99999
Watertown,WI,KRYV,43.17,-88.72,254,99999
Waukesha,WI,KUES,43.02,-88.14,285,99999
Volk,WI,KVOK,43.93,-90.27,277,99999
Ashland,WI,KASX,46.55,-90.92,251,99999
