
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2016-1-1,28,23,17,18,16,10,80,72,63,30.19,30.12,30.04,10,10,9,15,8,22,T,7,Snow,261<br />
2016-1-2,32,25,17,19,16,14,84,69,54,30.12,30.02,29.90,10,10,10,16,6,26,0.00,0,,270<br />
2016-1-3,27,24,20,20,17,14,81,75,68,30.32,30.20,29.99,10,10,9,15,8,20,T,7,Snow,320<br />
2016-1-4,26,18,9,19,13,7,84,70,55,30.57,30.49,30.33,10,10,10,14,6,17,0.00,2,,13<br />
2016-1-5,29,19,9,21,17,10,91,77,63,30.51,30.41,30.28,10,10,10,20,10,24,0.00,4,,188<br />
2016-1-6,32,28,24,27,22,20,85,74,63,30.28,30.21,30.15,10,10,10,17,9,22,T,6,,185<br />
2016-1-7,35,33,31,32,29,28,92,84,75,30.14,30.02,29.92,10,8,2,12,6,14,0.13,8,Rain-Snow,140<br />
2016-1-8,38,36,34,37,34,30,100,91,82,29.90,29.77,29.68,10,2,0,9,3,11,0.37,8,Fog-Rain,144<br />
2016-1-9,34,24,14,34,26,8,100,87,73,29.93,29.85,29.74,10,7,2,21,10,30,0.02,8,Snow,320<br />
2016-1-10,14,5,-4,7,-4,-12,83,72,60,30.12,30.03,29.89,10,10,6,21,11,30,T,4,Snow,306<br />
2016-1-11,10,2,-7,5,-2,-12,83,76,68,30.12,29.91,29.69,10,6,1,10,4,16,0.04,6,Snow,178<br />
2016-1-12,10,4,-2,4,-5,-10,76,66,55,30.22,29.99,29.66,10,8,2,21,9,29,T,3,Snow,299<br />
2016-1-13,21,9,-3,15,3,-10,84,76,67,30.20,29.96,29.77,10,9,2,15,5,17,T,5,Snow,198<br />
2016-1-14,35,25,14,31,22,11,92,82,72,29.76,29.62,29.42,10,8,4,10,5,12,0.00,5,,126<br />
2016-1-15,34,31,28,32,27,19,100,85,69,29.71,29.50,29.35,10,6,1,16,9,24,T,7,Snow,313<br />
2016-1-16,28,14,-1,17,6,-10,84,68,51,30.06,29.90,29.72,10,10,9,17,9,24,T,4,Snow,298<br />
2016-1-17,1,-3,-8,-13,-16,-17,65,56,47,30.29,30.17,30.05,10,10,10,18,11,27,0.00,1,,300<br />
2016-1-18,3,-3,-9,-11,-14,-16,72,62,51,30.44,30.35,30.29,10,10,10,13,7,18,0.00,0,,292<br />
2016-1-19,13,4,-6,2,-6,-13,75,64,53,30.56,30.48,30.39,10,10,10,9,3,14,0.00,5,,204<br />
2016-1-20,22,17,11,11,8,2,80,69,57,30.36,30.29,30.22,10,10,9,8,3,13,T,7,Snow,197<br />
2016-1-21,23,18,12,18,15,9,88,83,77,30.39,30.35,30.25,10,9,6,10,4,41,T,7,Snow,321<br />
2016-1-22,25,23,21,19,17,15,81,75,68,30.37,30.34,30.30,10,9,4,17,9,20,T,8,Snow,1<br />
2016-1-23,31,26,20,20,17,15,84,69,53,30.32,30.17,30.00,10,10,10,13,6,19,0.00,5,,214<br />
2016-1-24,27,25,22,23,21,17,88,81,74,29.97,29.94,29.90,10,8,5,15,6,21,0.00,8,,181<br />
2016-1-25,34,28,22,32,27,20,100,88,75,29.92,29.72,29.60,7,3,0,13,6,15,0.28,8,Fog-Snow,109<br />
2016-1-26,30,25,19,28,23,17,92,84,75,30.21,29.96,29.64,10,6,0,14,7,21,0.11,8,Fog-Snow,282<br />
2016-1-27,35,28,21,27,21,15,84,74,63,30.24,30.00,29.68,10,10,10,18,8,32,T,7,Snow,218<br />
2016-1-28,38,30,22,29,24,12,82,71,60,29.91,29.69,29.57,10,9,0,22,11,31,0.01,8,Snow,301<br />
2016-1-29,32,18,4,26,13,3,88,73,58,30.01,29.87,29.61,10,10,10,22,9,28,0.00,4,,174<br />
2016-1-30,42,34,26,32,29,24,92,75,57,29.67,29.63,29.58,10,9,6,15,5,21,0.01,6,,200<br />
2016-1-31,38,35,31,34,32,28,100,91,82,29.85,29.64,29.54,10,8,3,15,4,29,0.01,5,Rain,316<br />
