
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-5-1,69,52,35,40,35,32,92,60,28,30.18,30.12,30.07,10,10,10,10,3,18,0.00,4,,233<br />
2015-5-2,76,64,51,45,40,35,66,47,27,30.07,29.99,29.90,10,10,10,15,5,23,0.00,6,,213<br />
2015-5-3,76,67,58,56,52,47,78,64,49,29.92,29.88,29.83,10,10,10,23,11,32,0.22,6,Rain-Thunderstorm,193<br />
2015-5-4,75,66,56,57,54,36,93,67,40,30.18,30.04,29.89,10,9,3,15,8,20,0.19,6,Rain-Thunderstorm,2<br />
2015-5-5,58,54,49,51,47,37,89,68,47,30.29,30.24,30.18,10,7,2,15,9,21,0.38,8,Rain,87<br />
2015-5-6,77,63,49,63,54,46,93,77,60,30.22,30.13,30.01,10,5,1,16,9,22,0.09,7,Rain,122<br />
2015-5-7,82,71,60,58,54,50,84,60,36,30.03,29.93,29.82,10,8,4,28,13,35,0.00,4,,180<br />
2015-5-8,74,68,61,60,58,53,90,74,57,29.99,29.92,29.86,10,10,10,13,6,17,0.00,6,,217<br />
2015-5-9,69,61,53,53,51,45,83,71,59,30.10,30.06,29.99,10,10,10,17,9,20,0.00,8,,45<br />
2015-5-10,59,54,48,52,47,42,100,86,71,30.11,30.04,29.94,10,10,7,20,11,23,0.01,8,Rain,69<br />
2015-5-11,66,57,48,63,50,38,96,76,56,29.91,29.79,29.72,10,7,1,18,10,30,0.05,8,Rain,204<br />
2015-5-12,52,45,37,40,37,32,85,68,50,30.34,30.05,29.83,10,10,10,21,9,28,0.00,7,,286<br />
2015-5-13,62,48,33,39,35,31,89,66,42,30.51,30.42,30.35,10,10,10,16,7,22,0.00,2,,76<br />
2015-5-14,66,53,40,52,42,27,96,71,45,30.36,30.17,29.98,10,8,2,22,13,27,0.12,7,Rain,134<br />
2015-5-15,75,65,54,58,56,52,100,75,49,29.99,29.94,29.91,10,6,1,10,4,15,0.03,7,Rain,201<br />
2015-5-16,80,70,60,66,62,57,90,76,62,30.00,29.96,29.92,10,10,8,17,8,25,T,6,Rain,169<br />
2015-5-17,80,74,67,67,63,56,87,68,48,29.94,29.84,29.73,10,8,0,29,14,36,1.57,7,Rain,183<br />
2015-5-18,70,58,46,56,45,34,78,63,47,30.15,29.99,29.86,10,10,10,18,11,30,0.00,3,,261<br />
2015-5-19,57,49,41,39,35,31,82,63,43,30.28,30.22,30.15,10,10,5,17,9,23,0.01,6,Rain,328<br />
2015-5-20,52,46,40,39,34,31,76,60,44,30.27,30.22,30.13,10,10,10,10,4,12,0.00,6,,195<br />
2015-5-21,72,57,41,44,39,34,89,57,25,30.13,30.04,29.96,10,10,10,15,6,21,0.00,3,,274<br />
2015-5-22,73,57,40,41,36,31,79,54,28,30.27,30.19,30.06,10,10,10,14,4,17,0.00,2,,125<br />
2015-5-23,78,62,45,48,38,31,72,49,25,30.32,30.25,30.16,10,10,10,15,5,22,0.00,3,,185<br />
2015-5-24,63,58,52,58,54,47,93,83,72,30.17,30.01,29.86,10,6,2,18,6,23,0.69,7,Rain,121<br />
2015-5-25,79,71,62,64,62,58,93,73,52,29.88,29.78,29.72,10,8,1,20,9,26,0.06,6,Rain,194<br />
2015-5-26,76,69,62,67,63,57,93,79,64,29.88,29.76,29.64,10,8,2,26,11,32,0.38,6,Rain-Thunderstorm,178<br />
2015-5-27,77,69,60,58,56,52,90,68,46,30.10,29.94,29.79,10,10,5,14,6,25,T,4,Rain,277<br />
2015-5-28,82,69,56,58,55,51,93,65,36,30.18,30.11,30.01,10,10,10,17,8,22,0.00,3,,179<br />
2015-5-29,79,71,63,66,62,54,79,68,57,30.02,29.94,29.86,10,9,2,18,7,22,0.25,7,Rain-Thunderstorm,185<br />
2015-5-30,67,56,44,64,54,40,93,80,66,30.22,30.03,29.89,10,9,1,26,12,33,0.15,7,Rain,50<br />
2015-5-31,63,51,38,43,37,34,85,63,40,30.27,30.24,30.22,10,10,10,24,11,32,0.00,2,,37<br />
