
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-8-1,86,74,61,66,58,51,74,58,42,29.98,29.93,29.84,10,10,10,12,5,16,0.00,2,,281<br />
2015-8-2,90,80,70,70,66,58,84,62,40,29.84,29.70,29.57,10,10,10,18,9,28,0.00,3,,256<br />
2015-8-3,80,71,61,59,52,46,78,57,35,29.91,29.84,29.73,10,10,10,17,6,25,0.00,1,,306<br />
2015-8-4,79,68,56,57,53,51,80,60,40,30.02,29.96,29.90,10,10,10,14,4,20,0.00,4,,319<br />
2015-8-5,80,67,53,61,56,50,93,65,37,30.06,30.02,29.98,10,10,10,18,3,20,0.00,4,,99<br />
2015-8-6,81,68,55,60,57,53,100,71,42,30.02,29.96,29.89,10,10,10,12,5,14,0.00,5,,100<br />
2015-8-7,78,72,65,69,63,57,97,77,56,29.91,29.85,29.79,10,9,1,25,8,33,0.36,6,Rain-Thunderstorm,203<br />
2015-8-8,72,67,61,65,63,60,100,87,73,29.99,29.94,29.83,10,9,4,12,4,14,T,6,,353<br />
2015-8-9,81,73,64,67,64,61,93,76,58,30.00,29.95,29.89,10,7,3,9,3,16,T,7,Rain,138<br />
2015-8-10,83,74,64,68,65,58,90,68,46,29.96,29.89,29.86,10,10,7,17,6,27,0.01,5,Rain,333<br />
2015-8-11,81,70,58,61,58,55,93,69,45,30.12,30.06,29.96,10,10,10,15,5,20,0.00,1,,336<br />
2015-8-12,82,69,55,61,57,54,93,69,45,30.22,30.15,30.07,10,10,10,8,2,12,0.00,2,,319<br />
2015-8-13,84,76,67,67,63,58,79,65,51,30.06,30.03,29.98,10,10,10,14,6,22,0.00,4,,231<br />
2015-8-14,92,81,70,69,67,63,90,66,41,30.10,30.05,30.01,10,10,10,15,4,19,0.00,4,,200<br />
2015-8-15,91,80,68,73,69,65,90,71,51,30.11,30.07,30.02,10,10,10,12,4,17,0.00,3,,206<br />
2015-8-16,88,81,73,69,67,66,79,65,50,30.07,30.03,29.97,10,10,10,14,7,20,0.00,4,,222<br />
2015-8-17,86,77,67,70,67,61,97,79,61,30.01,29.97,29.92,10,8,1,20,4,26,0.34,6,Rain-Thunderstorm,232<br />
2015-8-18,80,73,65,68,66,64,97,80,62,29.93,29.80,29.62,10,7,1,17,6,30,1.52,7,Rain-Thunderstorm,153<br />
2015-8-19,70,65,60,66,59,51,93,78,63,29.67,29.62,29.55,10,10,9,23,11,29,0.01,8,,202<br />
2015-8-20,71,62,52,57,53,48,93,69,44,30.00,29.78,29.65,10,10,6,16,6,27,0.02,6,Rain,284<br />
2015-8-21,81,66,50,59,55,49,96,68,39,30.05,30.02,30.00,10,10,10,18,8,24,0.00,2,,189<br />
2015-8-22,80,72,63,59,57,53,84,63,42,30.06,30.00,29.92,10,10,10,26,14,32,0.00,1,,177<br />
2015-8-23,71,65,59,65,56,47,93,71,49,29.91,29.84,29.78,10,9,4,18,8,28,0.04,6,Rain,240<br />
2015-8-24,66,60,54,48,46,44,72,60,48,29.99,29.93,29.89,10,10,10,20,9,30,0.00,5,,297<br />
2015-8-25,68,62,55,53,50,46,86,71,55,30.11,30.03,29.96,10,10,10,13,7,27,0.00,7,,324<br />
2015-8-26,71,64,56,54,52,51,86,71,55,30.20,30.15,30.09,10,10,10,9,4,12,0.00,6,,299<br />
2015-8-27,75,63,50,57,54,49,100,77,53,30.20,30.14,30.09,10,10,7,15,5,18,0.00,3,,191<br />
2015-8-28,67,63,59,63,59,55,93,86,78,30.13,30.09,30.04,10,7,2,15,6,18,0.93,7,Rain,144<br />
2015-8-29,69,65,60,63,61,58,100,91,81,30.05,30.03,30.00,10,6,2,12,4,14,0.87,8,Rain,102<br />
2015-8-30,74,68,61,64,61,58,93,81,68,30.09,30.04,30.00,10,8,2,10,3,14,0.00,6,,190<br />
2015-8-31,83,70,56,68,62,55,100,79,58,30.06,30.03,29.99,10,6,0,14,4,19,0.00,4,Fog,179<br />
