
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2016-3-1,25,19,12,20,13,-1,92,73,53,30.12,29.99,29.93,10,4,1,25,13,31,0.18,7,Snow,12<br />
2016-3-2,27,14,0,8,2,-4,83,58,33,30.21,30.15,30.11,10,10,10,12,4,15,0.00,4,,153<br />
2016-3-3,31,23,14,22,16,9,84,67,50,30.18,30.12,30.08,10,9,5,13,6,14,T,6,Snow,65<br />
2016-3-4,37,25,12,29,22,10,92,68,44,30.22,30.11,29.99,10,6,1,22,7,27,0.10,7,Snow,184<br />
2016-3-5,38,35,31,32,30,26,100,85,70,30.26,30.11,29.93,10,8,3,20,7,26,T,8,Rain,327<br />
2016-3-6,49,40,31,38,32,26,85,70,54,30.25,29.99,29.81,10,10,6,23,14,32,0.06,6,Rain-Hail-Thunderstorm,189<br />
2016-3-7,63,53,43,48,43,36,83,68,53,29.83,29.80,29.75,10,10,10,18,10,27,0.00,6,,181<br />
2016-3-8,68,61,53,53,51,47,83,69,55,29.82,29.77,29.73,10,10,10,21,10,31,0.01,6,,190<br />
2016-3-9,61,51,41,56,48,37,100,80,59,30.04,29.85,29.72,10,9,2,15,5,33,0.13,7,Rain,268<br />
2016-3-10,53,43,33,38,36,31,96,75,54,30.28,30.12,30.02,10,10,8,13,5,17,0.00,5,,332<br />
2016-3-11,59,43,26,40,34,26,100,72,44,30.39,30.30,30.23,10,8,2,14,6,18,0.00,2,,181<br />
2016-3-12,60,48,35,42,38,33,85,65,44,30.22,30.10,29.98,10,10,9,15,4,21,0.02,6,Rain,176<br />
2016-3-13,51,48,44,45,43,39,93,84,74,29.96,29.79,29.69,10,8,5,14,7,18,0.28,8,Rain,69<br />
2016-3-14,57,49,41,45,42,40,100,83,66,29.75,29.70,29.67,10,6,0,8,3,10,T,7,Fog,360<br />
