
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-2-1,21,14,6,15,5,-4,85,71,51,30.27,30.20,30.10,10,4,1,18,13,26,0.01,7,Snow,52<br />
2015-2-2,16,4,-7,-2,-5,-11,83,62,41,30.27,30.20,30.14,10,10,10,10,6,,0.00,0,,273<br />
2015-2-3,18,8,-2,10,4,-7,88,75,54,30.17,30.09,30.02,10,7,1,8,4,,0.03,5,Snow,250<br />
2015-2-4,15,8,1,6,-1,-10,84,64,47,30.44,30.27,30.09,10,10,4,18,7,28,0.00,2,Snow,303<br />
2015-2-5,17,2,-13,-1,-9,-20,79,59,36,30.49,30.34,30.18,10,10,7,21,6,28,0.00,1,,220<br />
2015-2-6,28,18,9,12,7,0,71,63,47,30.18,30.09,29.95,10,10,10,7,5,,0.00,3,,168<br />
2015-2-7,33,24,15,24,17,10,81,70,61,29.94,29.76,29.61,10,7,4,13,5,18,0.00,3,,95<br />
2015-2-8,28,24,21,25,19,12,88,78,68,30.18,29.94,29.63,10,8,3,12,8,,0.00,8,,40<br />
2015-2-9,26,18,9,13,9,5,84,66,49,30.35,30.29,30.20,10,10,10,9,6,,0.00,3,,25<br />
2015-2-10,25,16,6,21,16,1,88,81,68,30.35,30.08,29.92,10,6,0,14,5,21,0.12,6,Fog-Snow,157<br />
2015-2-11,27,20,10,23,16,-3,92,73,54,30.29,30.01,29.88,10,7,2,22,12,32,0.00,7,Snow,284<br />
2015-2-12,10,4,-2,-3,-7,-10,79,60,48,30.58,30.49,30.32,10,10,10,15,10,23,0.00,0,,317<br />
2015-2-13,23,9,-5,16,6,-10,80,70,62,30.39,30.06,29.88,10,10,5,17,8,25,0.00,6,Snow,253<br />
2015-2-14,16,5,-9,5,-9,-18,68,55,43,30.64,30.25,29.87,10,10,5,25,16,40,0.00,3,Snow,331<br />
2015-2-15,8,0,-9,-4,-11,-17,72,57,42,30.69,30.59,30.43,10,10,10,10,6,,0.00,4,,96<br />
2015-2-16,16,11,6,6,1,-3,81,66,54,30.41,30.18,29.99,10,10,6,9,4,,0.00,8,Snow,218<br />
2015-2-17,10,6,0,7,-3,-9,84,66,50,30.01,29.95,29.90,10,9,2,15,9,22,0.00,6,Snow,298<br />
2015-2-18,0,-4,-9,-6,-15,-21,76,60,44,30.34,30.11,29.84,10,9,5,21,10,29,0.00,3,,317<br />
2015-2-19,3,-8,-18,-15,-19,-25,75,59,41,30.47,30.40,30.34,10,10,10,13,6,,0.00,0,,319<br />
2015-2-20,15,0,-14,8,-2,-21,77,69,57,30.33,30.04,29.85,10,6,1,15,7,24,0.00,7,Snow,182<br />
2015-2-21,25,18,9,14,9,0,77,67,58,30.27,30.03,29.86,10,9,6,12,4,,0.00,7,,325<br />
2015-2-22,9,0,-9,-1,-12,-20,69,57,47,30.78,30.57,30.30,10,10,4,15,9,21,0.00,0,,311<br />
2015-2-23,9,-4,-16,-5,-16,-24,67,52,35,30.79,30.55,30.06,10,10,10,17,9,22,0.00,0,,243<br />
2015-2-24,30,20,9,22,7,-9,81,51,31,29.98,29.68,29.57,10,7,0,31,17,43,0.01,4,Snow,288<br />
2015-2-25,12,4,-5,-2,-7,-12,72,55,42,30.23,30.08,29.94,10,10,10,16,4,,0.00,4,,348<br />
2015-2-26,10,2,-6,-7,-10,-13,75,57,44,30.51,30.40,30.26,10,10,9,13,9,,0.00,0,,335<br />
2015-2-27,16,2,-13,-7,-11,-19,78,56,36,30.65,30.59,30.52,10,10,10,12,4,17,0.00,0,,256<br />
2015-2-28,18,4,-11,-1,-7,-17,79,55,35,30.70,30.60,30.46,10,10,9,14,6,,0.00,2,,205<br />
