
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2016-2-1,42,32,22,29,26,20,100,73,46,30.14,30.01,29.87,10,6,0,9,1,10,0.00,4,Fog,269<br />
2016-2-2,34,30,25,33,31,24,100,95,89,30.16,29.83,29.49,8,2,0,24,11,38,0.29,8,Fog-Rain-Snow,77<br />
2016-2-3,33,27,21,32,25,11,100,84,68,30.10,29.71,29.45,10,6,1,18,9,26,0.09,8,Snow,322<br />
2016-2-4,28,20,12,24,14,6,92,71,50,30.26,30.20,30.07,10,9,2,13,5,17,T,7,Snow,231<br />
2016-2-5,30,26,21,21,17,14,84,69,53,30.40,30.33,30.24,10,10,10,10,5,15,T,8,,296<br />
2016-2-6,32,29,26,28,23,19,85,77,65,30.29,30.16,29.99,10,10,9,10,7,,0.00,7,,221<br />
2016-2-7,41,37,32,29,28,26,85,72,59,29.95,29.72,29.61,10,10,10,15,8,24,0.00,5,,228<br />
2016-2-8,33,24,14,31,17,8,89,78,67,29.83,29.72,29.59,10,8,3,17,12,31,0.01,8,Snow,314<br />
2016-2-9,16,13,9,9,4,-1,80,69,58,30.05,29.91,29.78,10,7,2,18,13,25,0.01,8,Snow,324<br />
2016-2-10,14,9,3,0,-2,-4,79,65,51,30.25,30.11,30.01,10,10,10,16,8,24,T,4,,316<br />
2016-2-11,18,9,0,-1,-4,-5,75,59,36,30.38,30.33,30.26,10,10,10,8,5,,0.00,1,,317<br />
